winner_rank,winner_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced
113,27.18138261,162,8,1,126,76,56,29,16,14,15
352,19.75633128,86,4,2,67,35,25,16,10,4,6
103,20.88158795,64,4,1,46,29,23,11,8,0,0
107,30.04791239,150,8,6,109,56,43,21,15,9,12
74,30.0752909,60,3,0,50,27,22,16,9,1,1
92,22.02053388,115,9,4,95,60,43,26,16,5,6
120,30.36824093,171,4,11,148,65,54,43,18,9,12
79,23.73990418,66,1,1,42,23,19,13,8,0,0
89,20.55852156,63,2,2,49,30,26,10,9,3,4
125,25.53867214,123,7,2,83,55,42,14,14,3,6
165,22.00136893,76,1,4,56,36,26,11,9,2,3
72,34.87200548,69,1,3,56,26,20,18,9,3,4
205,22.86926762,98,4,1,69,50,37,9,11,4,5
100,22.4476386,149,7,0,98,67,48,14,15,7,10
148,19.78370979,52,0,0,43,37,29,4,8,3,3
216,23.46064339,144,5,3,106,66,52,17,17,1,4
352,19.75633128,112,3,7,74,39,29,18,12,3,6
103,20.88158795,76,2,4,59,33,23,15,10,2,3
92,22.02053388,151,3,2,110,66,49,20,16,5,8
120,30.36824093,68,9,1,43,25,20,10,9,0,2
89,20.55852156,72,7,0,48,34,28,9,9,0,0
72,34.87200548,135,5,1,80,39,33,27,13,3,3
100,22.4476386,136,12,4,92,59,47,12,15,2,4
216,23.46064339,83,7,0,63,39,26,15,11,2,4
352,19.75633128,67,4,4,52,36,27,9,9,4,5
120,30.36824093,85,13,2,65,37,34,12,11,2,3
89,20.55852156,120,1,1,73,43,31,17,12,4,6
216,23.46064339,92,5,0,56,33,26,14,11,0,2
352,19.75633128,115,5,7,78,40,32,22,13,4,5
89,20.55852156,91,4,1,53,28,22,10,10,0,3
352,19.75633128,78,7,8,56,29,25,12,8,0,0
1,29.94934976,71,3,4,53,31,23,9,9,1,3
101,21.96303901,93,5,1,70,35,25,17,11,5,7
117,20.66529774,54,0,0,39,14,11,19,7,3,3
74,31.38672142,49,6,1,58,31,25,12,8,5,6
36,30.04517454,79,4,2,75,46,29,17,9,7,8
92,30.01779603,59,4,0,38,18,15,14,7,0,0
89,20.50102669,67,3,1,40,19,17,14,8,2,3
57,26.85284052,65,2,0,47,36,26,7,7,2,2
43,27.26899384,90,8,2,57,34,27,8,11,4,7
168,29.02395619,93,2,4,71,50,34,11,11,4,7
125,22.68856947,98,3,1,87,53,36,18,13,5,7
37,28.13141684,88,1,4,69,35,27,21,11,2,2
79,23.97809719,76,7,3,61,28,24,16,9,0,1
120,28.96098563,136,4,1,95,47,31,25,15,6,10
84,23.68240931,111,4,5,100,65,44,14,15,10,15
22,23.26899384,64,6,0,62,44,29,8,9,8,10
101,21.96303901,42,2,0,25,13,9,6,5,3,5
74,31.38672142,144,7,7,122,71,44,27,16,7,12
92,30.01779603,105,4,3,89,60,45,14,15,5,7
89,20.50102669,68,4,0,47,25,20,14,8,0,0
43,27.26899384,93,3,5,67,49,39,7,13,0,2
37,28.13141684,148,1,1,105,52,36,26,16,3,7
79,23.97809719,83,4,5,61,22,19,19,11,2,5
22,23.26899384,100,2,3,68,39,25,15,13,4,9
74,31.38672142,71,5,6,59,33,25,14,10,1,3
92,30.01779603,56,8,0,45,29,25,10,8,2,2
37,28.13141684,96,3,3,55,29,21,17,9,1,2
79,23.97809719,93,5,5,84,40,32,25,11,4,5
92,30.01779603,62,7,2,50,28,23,15,9,2,2
79,23.97809719,105,4,5,77,35,24,25,12,3,5
79,23.97809719,92,2,2,78,39,28,20,11,5,7
3,26.00684463,62,2,2,65,32,21,20,10,5,7
44,28.89253936,69,1,3,48,21,13,17,9,1,4
34,27.20054757,106,3,1,75,44,33,15,14,2,6
27,26.34086242,71,3,2,66,39,35,13,11,1,1
32,21.97946612,120,4,3,105,56,38,29,12,6,6
163,24.5174538,81,2,1,64,27,19,23,10,4,5
43,26.45037645,68,4,3,48,22,18,17,8,3,3
15,26.45859001,68,12,2,52,30,26,10,10,0,2
10,30.68583162,108,10,3,75,38,30,22,12,2,3
77,31.25256674,80,3,2,59,29,21,24,11,0,0
33,25.96851472,86,9,9,85,49,37,18,11,9,10
12,25.94387406,66,8,7,65,28,26,19,9,6,6
21,22.13004791,58,7,3,48,14,14,26,10,0,0
72,29.28952772,76,7,6,57,30,25,17,10,2,3
61,28.44079398,67,12,5,60,26,23,19,10,3,4
66,18.53798768,62,6,1,56,33,26,12,8,5,5
3,26.00684463,82,7,4,79,48,34,15,10,6,7
34,27.20054757,66,3,3,57,22,18,19,9,4,5
32,21.97946612,85,7,2,64,31,25,18,8,5,5
15,26.45859001,101,7,1,78,44,38,21,12,3,4
10,30.68583162,88,12,7,64,28,25,18,10,5,6
12,25.94387406,113,7,4,94,53,36,22,14,7,11
72,29.28952772,92,5,9,68,31,27,19,10,1,2
66,18.53798768,65,6,1,63,44,31,11,10,0,1
3,26.00684463,61,2,0,54,31,28,12,9,3,3
15,26.45859001,90,4,8,68,34,28,19,11,4,5
12,25.94387406,157,20,7,104,50,45,30,17,4,7
72,29.28952772,112,6,7,78,43,38,17,14,3,4
3,26.00684463,74,4,4,61,32,28,20,11,0,0
72,29.28952772,102,14,6,84,51,44,13,14,9,11
72,29.28952772,80,9,4,66,38,31,14,10,4,5
1,30.33264887,89,8,4,80,50,37,16,12,2,3
37,22.69678303,105,11,5,92,58,44,16,14,2,3
41,26.85831622,214,15,3,147,87,61,28,24,8,13
